GeneID	group	Enzyme_family,pathway	Gene_description	Substrate
jgi|Aspni_NRRL3_1|6888	sugar_metabolism	Glycolysis	pgiA	/
jgi|Aspni_NRRL3_1|6890	sugar_metabolism	"D-galacturonic acid;D-gluconate"	gaaB	/
jgi|Aspni_NRRL3_1|6930	sugar_metabolism	D-galacturonic acid	garB	/
jgi|Aspni_NRRL3_1|6978	sugar_metabolism	Leloir	galK	/
jgi|Aspni_NRRL3_1|7	PBD_cazy	FAE	FAE	Pectin/Xylan
jgi|Aspni_NRRL3_1|703	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|7072	sugar_metabolism	Glycolysis	pgmA	/
jgi|Aspni_NRRL3_1|7089	PBD_cazy	GH95	AFC	Xyloglucan
jgi|Aspni_NRRL3_1|7094	PBD_cazy	GH43	ABF/BXL/ABN	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|7271	sugar_metabolism	Glycolysis	gpdA	/
jgi|Aspni_NRRL3_1|728	sugar_transporter	lactose, cellobiose, xylobiose STs	/	/
jgi|Aspni_NRRL3_1|7282	sugar_metabolism	"PCP;the oxidoreductive pathway"	/	/
jgi|Aspni_NRRL3_1|7283	sugar_metabolism	"PCP;the oxidoreductive pathway"	ladB	/
jgi|Aspni_NRRL3_1|7289	sugar_metabolism	the oxidoreductive pathway	xhrA	/
jgi|Aspni_NRRL3_1|7290	transcription_factor	transcription_factor|galX D-Galactose catabolism	galX	/
jgi|Aspni_NRRL3_1|7294	sugar_transporter	unknown STs	/	/
jgi|Aspni_NRRL3_1|73	PBD_cazy	CE5	AXE	Xylan
jgi|Aspni_NRRL3_1|7382	PBD_cazy	GH95	AFC	Xyloglucan
jgi|Aspni_NRRL3_1|74	PBD_cazy	CE5	AXE	Xylan
jgi|Aspni_NRRL3_1|7411	PBD_cazy	CE1	AXE/FAE	Xylan
jgi|Aspni_NRRL3_1|7416	sugar_metabolism	D-gluconate	/	/
jgi|Aspni_NRRL3_1|742	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|7421	PBD_cazy	GH43	ABF/BXL/ABN	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|7422	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|7423	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|7429	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|743	PBD_cazy	GH27	AGL	Mannan
jgi|Aspni_NRRL3_1|7442	sugar_transporter	xylose STs	/	/
jgi|Aspni_NRRL3_1|7469	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|7470	PBD_cazy	CE8	PME	Pectin
jgi|Aspni_NRRL3_1|7501	PBD_cazy	CE12	RGAE	Pectin
jgi|Aspni_NRRL3_1|7520	PBD_cazy	GH78	RHA	Pectin
jgi|Aspni_NRRL3_1|7564	transcription_factor	transcription_factor|araR hemicellulose and pectin degradation 	araR	/
jgi|Aspni_NRRL3_1|7568	PBD_cazy	AA9	LPMO	Cellulose
jgi|Aspni_NRRL3_1|7609	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|7699	PBD_cazy	GH13_Subf1	AMY	Starch
jgi|Aspni_NRRL3_1|7700	PBD_cazy	GH31	AGD/AXL	Starch/Xyloglucan
jgi|Aspni_NRRL3_1|7701	transcription_factor	transcription_factor|amyR starch degradation	amyR	/
jgi|Aspni_NRRL3_1|776	PBD_cazy	CE5	AXE	Xylan
jgi|Aspni_NRRL3_1|7795	sugar_metabolism	"TCA;Glyoxylate cycle"	acuA	/
jgi|Aspni_NRRL3_1|7819	sugar_metabolism	Glycolysis	fbpA	/
jgi|Aspni_NRRL3_1|7837	sugar_metabolism	Mannose	mgtB	/
jgi|Aspni_NRRL3_1|7842	sugar_metabolism	Glycerol	glcA	/
jgi|Aspni_NRRL3_1|7854	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|7971	sugar_metabolism	Mannose	/	/
jgi|Aspni_NRRL3_1|7975	PBD_cazy	GH1	BGL	Cellulose
jgi|Aspni_NRRL3_1|8009	sugar_transporter	lactose, cellobiose, xylobiose STs	/	/
jgi|Aspni_NRRL3_1|8010	PBD_cazy	FAE	FAE	Pectin/Xylan
jgi|Aspni_NRRL3_1|8012	sugar_metabolism	non-phosphorylated DeLey-Doudoroff pathway	dgdB	/
jgi|Aspni_NRRL3_1|8018	PBD_cazy	GH36	AGL	Mannan
jgi|Aspni_NRRL3_1|8073	sugar_metabolism	"TCA;Glyoxylate cycle"	pycA	/
jgi|Aspni_NRRL3_1|814	PBD_cazy	AA9	LPMO	Cellulose
jgi|Aspni_NRRL3_1|815	sugar_transporter	inositol, hexose STs	/	/
jgi|Aspni_NRRL3_1|817	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|819	PBD_cazy	GH12	EGL/CBH/XEG	Cellulose/Xyloglucan
jgi|Aspni_NRRL3_1|8195	transcription_factor	transcription_factor|gaaR pectin degradation	gaaR	/
jgi|Aspni_NRRL3_1|8232	sugar_transporter	inositol, hexose STs	/	/
jgi|Aspni_NRRL3_1|824	PBD_cazy	GH93	ABX	Pectin
jgi|Aspni_NRRL3_1|8281	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|8300	PBD_cazy	GH15	GLA	Starch
jgi|Aspni_NRRL3_1|8325	PBD_cazy	CE8	PME	Pectin
jgi|Aspni_NRRL3_1|834	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|8380	PBD_cazy	GH12	EGL/CBH/XEG	Cellulose/Xyloglucan
jgi|Aspni_NRRL3_1|839	PBD_cazy	GH105	URGH	Pectin
jgi|Aspni_NRRL3_1|8392	PBD_cazy	GH12	EGL/CBH/XEG	Cellulose/Xyloglucan
jgi|Aspni_NRRL3_1|8395	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|8396	sugar_transporter	lactose, cellobiose, xylobiose STs	/	/
jgi|Aspni_NRRL3_1|8407	sugar_metabolism	PCP	/	/
jgi|Aspni_NRRL3_1|8517	PBD_cazy	GH1	BGL	Cellulose
jgi|Aspni_NRRL3_1|8604	sugar_metabolism	L-rhamnose	lkaA	/
jgi|Aspni_NRRL3_1|8621	sugar_transporter	hexose, xylose, polyol STs	/	/
jgi|Aspni_NRRL3_1|8631	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|8653	sugar_transporter	maltose, sucrose STs	/	/
jgi|Aspni_NRRL3_1|8663	sugar_transporter	pentose, hexose STs	/	/
jgi|Aspni_NRRL3_1|8701	PBD_cazy	GH5_Subf16	ENDO-BETA-1,6-GALACTANASE	Pectin
jgi|Aspni_NRRL3_1|8707	PBD_cazy	GH62	AXH	Xylan
jgi|Aspni_NRRL3_1|8708	PBD_cazy	GH10	XLN	Xylan
jgi|Aspni_NRRL3_1|8767	PBD_cazy	PL1_Subf4	PEL	Pectin
jgi|Aspni_NRRL3_1|8784	sugar_metabolism	PPP	/	/
jgi|Aspni_NRRL3_1|8786	PBD_cazy	CE16	HAE	Xylan/Mannan/Xyloglucan
jgi|Aspni_NRRL3_1|8798	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|8805	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|8807	PBD_cazy	GH2	LAC/MND	Pectin/Xyloglucan/Mannan
jgi|Aspni_NRRL3_1|8821	sugar_metabolism	PCP	/	/
jgi|Aspni_NRRL3_1|8837	sugar_metabolism	L-rhamnose	/	/
jgi|Aspni_NRRL3_1|8838	sugar_metabolism	Glycolysis	put. fba	/
jgi|Aspni_NRRL3_1|8839	sugar_metabolism	non-phosphorylated DeLey-Doudoroff pathway	/	/
jgi|Aspni_NRRL3_1|8841	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|8842	sugar_metabolism	the oxidoreductive pathway	/	/
jgi|Aspni_NRRL3_1|8886	sugar_metabolism	"TCA;Glyoxylate cycle"	/	/
jgi|Aspni_NRRL3_1|8911	sugar_transporter	hexose, xylose, polyol STs	MstG_Aniger	/
jgi|Aspni_NRRL3_1|8912	PBD_cazy	GH5_Subf7	MAN	Mannan
jgi|Aspni_NRRL3_1|8917	sugar_metabolism	D-gluconate	gox	/
jgi|Aspni_NRRL3_1|8949	PBD_cazy	GH15	GLA	Starch
jgi|Aspni_NRRL3_1|895	sugar_metabolism	PPP	tktC	/
jgi|Aspni_NRRL3_1|896	sugar_metabolism	PCP	/	/
jgi|Aspni_NRRL3_1|8993	PBD_cazy	CE1	AXE/FAE	Xylan
jgi|Aspni_NRRL3_1|8994	PBD_cazy	AA9	LPMO	Cellulose
jgi|Aspni_NRRL3_1|9001	PBD_cazy	GH13_Subf1	AMY	Starch
jgi|Aspni_NRRL3_1|9019	PBD_cazy	GH6	CBH	Cellulose
jgi|Aspni_NRRL3_1|9050	transcription_factor	transcription_factor|clrB/manR cellulose degradation	clrB	/
jgi|Aspni_NRRL3_1|9051	PBD_cazy	GH2	LAC/MND	Pectin/Xyloglucan/Mannan
jgi|Aspni_NRRL3_1|9077	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|9126	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|92	PBD_cazy	GH43	ABF/BXL/ABN	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|9204	sugar_metabolism	PCP	xdhA	/
jgi|Aspni_NRRL3_1|9217	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|925	sugar_metabolism	Leloir	ugeA	/
jgi|Aspni_NRRL3_1|9251	sugar_metabolism	Leloir	/	/
jgi|Aspni_NRRL3_1|935	sugar_transporter	glycerol, aribitol, pentose STs	/	/
jgi|Aspni_NRRL3_1|9364	sugar_transporter	xylose STs	/	/
jgi|Aspni_NRRL3_1|9450	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|952	PBD_cazy	GH13_Subf8	\	Starch
jgi|Aspni_NRRL3_1|953	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|9556	sugar_metabolism	"TCA;Glyoxylate cycle"	/	/
jgi|Aspni_NRRL3_1|958	sugar_transporter	uronic, quinic acid STs	GatA_Aniger	/
jgi|Aspni_NRRL3_1|9612	PBD_cazy	GH2	LAC/MND	Pectin/Xyloglucan/Mannan
jgi|Aspni_NRRL3_1|9622	PBD_cazy	GH27	AGL	Mannan
jgi|Aspni_NRRL3_1|9623	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|9641	sugar_metabolism	PPP	gndB	/
jgi|Aspni_NRRL3_1|9644	PBD_cazy	GH3	BGL/BXL	Cellulose/Xylan
jgi|Aspni_NRRL3_1|965	PBD_cazy	PL1_Subf4	PEL	Pectin
jgi|Aspni_NRRL3_1|966	sugar_metabolism	TCA	/	/
jgi|Aspni_NRRL3_1|967	sugar_metabolism	Glycolysis	put. fba	/
jgi|Aspni_NRRL3_1|968	sugar_metabolism	PPP	/	/
jgi|Aspni_NRRL3_1|9685	sugar_metabolism	D-gluconate	gox	/
jgi|Aspni_NRRL3_1|9716	sugar_transporter	xylose STs	XltB_Aniger	/
jgi|Aspni_NRRL3_1|9769	sugar_metabolism	"TCA;Glyoxylate cycle"	/	/
jgi|Aspni_NRRL3_1|9799	transcription_factor	transcription_factor|malR cellulose degradation	malR	/
jgi|Aspni_NRRL3_1|9810	PBD_cazy	GH28	PGA/PGX/RGH/RGX/XGH	Pectin
jgi|Aspni_NRRL3_1|9811	PBD_cazy	PL1_Subf4	PEL	Pectin
jgi|Aspni_NRRL3_1|9845	sugar_transporter	uronic, quinic acid STs	/	/
jgi|Aspni_NRRL3_1|9875	PBD_cazy	GH13_Subf1	AMY	Starch
jgi|Aspni_NRRL3_1|9880	sugar_metabolism	PCP	/	/
jgi|Aspni_NRRL3_1|9884	PBD_cazy	GH32	INV/INU/INX	Inulin
jgi|Aspni_NRRL3_1|9890	PBD_cazy	GH43	ABF/BXL/ABN	Xylan/Pectin/Xyloglucan
jgi|Aspni_NRRL3_1|9951	sugar_metabolism	Mannose	mgtA	/
jgi|Aspni_NRRL3_1|9976	PBD_cazy	GH1	BGL	Cellulose
jgi|Aspni_NRRL3_1|9981	sugar_metabolism	PPP	gndA	/
jgi|Aspni_NRRL3_1|8275	transcription_factor	TanR	TanR	Tannic acid utilization
jgi|Aspni_NRRL3_1|8276	transcription_factor	TanX	TanX	Tannic acid utilization repressor
jgi|Aspni_NRRL3_1|4659	sugar_metabolism	gacA	gacA	gallic acid utilization
jgi|Aspni_NRRL3_1|1590	transcription_factor	hacA	hacA	regulating unfold protein
jgi|Aspni_NRRL3_1|9145	transcription_factor	farD	farD	regulating feuric acid utilzation
jgi|Aspni_NRRL3_1|6630	transcription_factor	farB	farB	regulating feuric acid utilization
jgi|Aspni_NRRL3_1|665	transcription_factor	farA	farA	regulating feuric acid utilization

